person_id,surname,predicted_gender,prediction_method,confidence
9372,BORAM,male,existing,high
135369,COTTON,male,existing,high
77009,CRISP,female,existing,high
135370,DEVOY,male,gender_guesser,high
111974,HARPLEY,male,gender_guesser,high
135391,FRYER,unknown,unknown,none
77007,MENDOZA,male,existing,high
76724,NEOCLEOUS,male,gender_guesser,high
9500,NICKLEN,male,gender_guesser,low
135393,RICHARDSON,male,gender_guesser,high
65455,RIDLEY,male,existing,high
135414,BAXTER,nonbinary,existing,high
87423,BELLASIS,male,gender_guesser,low
135415,DOUBTFIRE,male,gender_guesser,high
9496,JONES,male,gender_guesser,high
111968,THOMPSON,male,gender_guesser,high
135481,BARTRAM,female,gender_guesser,high
135482,FRY,male,gender_guesser,high
9484,GINNELLY,male,gender_guesser,high
135483,LOVELIDGE,male,gender_guesser,high
135484,PANNELL,unknown,unknown,none
135074,DECKE,male,existing,high
135075,GRINSTEAD,male,gender_guesser,high
135076,MCGRATH,unknown,unknown,none
76990,WILLIAMS,female,existing,high
38270,ALBURY,male,gender_guesser,low
135067,BURTON,male,gender_guesser,high
111954,GUEYE,unknown,unknown,none
86418,HARVEY,female,existing,high
135068,WALSH,female,existing,high
76742,ALDEN,female,existing,high
135514,GARRETT,male,gender_guesser,high
76858,PRESSLEY,male,gender_guesser,high
111938,WADE,male,existing,high
87560,WATTS,female,gender_guesser,high
9519,COWEN,male,existing,high
135546,FAIRMAN,female,existing,high
135547,FRY,female,gender_guesser,high
73455,PIATT,female,existing,high
135549,WHITE,female,gender_guesser,high
135558,ALLINSON,male,gender_guesser,high
111936,FRY,male,gender_guesser,high
9480,MANSFIELD,male,gender_guesser,high
135560,PARSONS,male,gender_guesser,high
135561,PRICE,female,existing,high
135581,ASHLEY,male,gender_guesser,high
135582,HEPWORTH,male,gender_guesser,high
9380,HUMPHREY,male,gender_guesser,high
38273,RUMBLE,female,existing,high
135597,BOWER,male,gender_guesser,high
76729,FLOWER,male,existing,high
9381,MEARS,female,existing,high
135598,SEARLE,female,gender_guesser,high
135599,STUART,male,gender_guesser,high
112001,BUHL-NIELSEN,female,existing,high
77006,GARDNER,male,existing,high
135617,MICHAELA,female,gender_guesser,high
135619,ROWATT,female,gender_guesser,high
